name,ratings,date,helpful,comment,developer_comment
강대훈,5,2020-06-05,0,이제 청소는 미소에다가 맡길생각입니다. 총 3 회 이용해봤는데 단한번도 헛투로 한적이없어서 고정으로 맡길 생각이에요.,"Miso, Inc.2020년 6월 10일안녕하세요, 강대훈 고객님. 미소를 이용해 주셔서 감사합니다. 이렇게 마음에 드신다고 말씀 주시니, 저희는 오늘도 보람을 느낍니다. 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 저희는 고객님의 일상에 필요한 모든것을 쉽고 간편하게 만들어나가기 위해 항상 노력하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다 :)"
이진규,5,2020-06-11,0,청소 업체는 미소가 가장 괜찮네요 스케줄 관리도 잘 해주시고 정말 마음에 듭니다 .,
박예은,5,2020-06-09,3,결제 시스템도 간단하고 청소 마무리도 잘 해주시고 이래저래 잘 쓰고 있습니다,
이경언,4,2020-06-07,0,오신 도우미는 아주좋았으나 어플이 자꾸 꺼지고 에러가 납니다. 그나마 고객센터의 대응이 원활했기에 괜찮았습니다,
Heewon Baek,5,2020-04-20,20,미소로 인해서 집청소 정말 깔끔하게 잘 했습니다 . 저도 이런곳 별로 일줄 알았거든요 . 솔직히 좀 사치 스럽다 이런 생각정도였는데 막상 서비스 이용해보고 가겨에 또 놀랐습니다 . 너무 잘 해주셔서 깜짝 놀랬고요 . 앞으로 청소는 이쪽에다가 맡겨서 전적으로 진행 할려고 합니다 미소 서비스 감사해요 ^^,"Miso, Inc.2020년 4월 23일안녕하세요, Heewon Baek 고객님. 미소를 이용해 주셔서 감사합니다. 미소는 합리적인 가격으로 우수한 청소 서비스를 제공하여, 모두의 일상이 행복해지도록 노력하고 있습니다. 저희는 고객님의 일상에 필요한 모든것을 쉽고 간편하게 만들어나가기 위해 항상 노력하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다 :)"
유송창,5,2020-05-15,6,"미소어플 평가가 좋아서 가사도우미 청소를 처음 이용해보았습니다. 요청사항이 여러 개 있었는데도 불구하고, 클리너께서 정말 꼼꼼하게 청소해주셨습니다. 집이 깨끗하니 기분이 참 좋네요... 진짜 제가 직접 하는 청소와 확실히 틀리네요. 가성비가 좋아서 다음에도 계속 이용할 것 같습니다. 다음에도 깨끗하게 청소해주시면 좋겠어요... 클리너님 감사드립니다 !! 별 5 점 드립니다","Miso, Inc.2020년 5월 20일안녕하세요, 유송창 고객님. 미소를 이용해 주셔서 감사합니다. 미소 서비스를 받으시고 기분이 좋다고 말씀 주시니, 고객님의 칭찬에 더 좋은 서비스로 보답하고 싶은 마음 뿐입니다. 미소는 합리적인 가격으로 양질의 서비스를 제공하여, 우리 모두의 일상이 행복해 지도록 노력하고 있습니다. 청소가 필요할 때는 미소를 기억해주세요~ 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요 ^_^ 감사합니다. :)"
Jh K,5,2020-05-15,5,미소가 청소 참 잘 해주시네요 ~ 저도 청소 맡기고 이런 스타일도 아니고 돈도 잘 안쓰는 스타일인데 ㅎㅎ 한번 이용맡기고 나서 부터 생각이 180 도로 바뀌었네요 . 청소 전문가라 그런지 디테일도 그렇고 퀄리티도 너무 좋습니다 가성비 좋은 서비스 ㅎㅎ ?? 앞으로도 청소 종종 여기다 맡길 생각 이고요 . 덕분에 주말에 편하게 잘 쉬웠네요 ㅎㅎ 고마워도 미소,"Miso, Inc.2020년 5월 21일안녕하세요, Jh K 고객님. 디테일과 퀄리티가 좋은 미소 입니다. :) 미소를 이용해 주셔서 감사합니다. 미소 서비스를 받으시고 주말에 편히 쉬신다고 말씀하시니, 저희는 오늘도 보람을 느낍니다. 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 저희는 고객님의 일상에 필요한 모든것을 쉽고 간편하게 만들어나가기 위해 항상 노력하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다 :)"
석수환,5,2020-06-01,1,이정도 금액에 이정도로 청소 해주시다니 . 가격에 놀라고 간편함에 또 놀랐습니다 .,"Miso, Inc.2020년 6월 3일안녕하세요, 석수환 고객님. 미소를 이용해 주셔서 감사합니다. 고객님의 칭찬에 더 좋은 서비스로 보답하고 싶은 마음 뿐입니다. 미소를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 모든 고객님께서 미소 서비스에 만족할 수 있도록 클리너님들도, 서비스 품질도 항상 심혈을 기울이고 있습니다. 앞으로도 믿을 수 있는 서비스를 제공하기 위해 더욱 노력하는 미소가 되도록 하겠습니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다. ^_^"
황지연,3,2020-05-01,11,처음 사용해보는데 앱이 불편한점이 너무 많네요 청소전에 어떻게 자세히 문의를 할 수 있는곳이 있으면 좋을텐데 전혀 없네요. 방문전에 문자서비스라던지 전화라던지 오면 더 좋을것 같구요 이모님들은 교육을 받거나 하신건 아니고 그냥 일반인이신것 같네요. 나이가 많으신 이모님이 오셔서 참견드리기 뭐해서 그냥 두었더니 건식 화장실을 온통 물바다로 만들어 난감하네요 미소라는 이름을 걸고 만든곳인데 기본교육은 받는게 좋을듯 싶네요 이니고 기본교육을 했다라면 더 좀 관리를 하셔야할 것 같아보여요.,"Miso, Inc.2020년 5월 4일안녕하세요, 황지연 고객님. 이용에 불편을 드려서 죄송합니다. 예약하신 일정을 안내해 드리기 위해서, 서비스 하루 전 날 오후 5시 경에 일괄적으로 안내 메세지를 보내드리고 있는데 혹시 이 메세지로 부족 하셨는지요 ? 미소에서는 모든 클리너님께서 만족스러운 서비스를 제공하도록 하려하는데 그러지 못했던 점 진심으로 죄송합니다. 고객님의 불편함을 바로 도와드리고 싶지만 플레이스토어 정책상 고객님의 정보를 확인할 수 없습니다. 번거로우시겠지만, 미소 어플 실시간 문의로 연락해 주시면 해당 클리너에게 청소 관련 피드백 및 재교육으로 고객님께 더 나은 서비스를 제공해드리는 방안을 최선을 다해 모색하겠습니다. 감사합니다. :)"
Hwanyoung Choe,1,2020-05-08,27,"덩어리 먼지가 구석에 그대로있고 테이블에 끈적한 먼지가 그대로 남아있는데...청소 상태가 미흡하다고 일일이 다 사진 찍어보내도 ""클리너가 놀고 간건 아니니 일부만 환불해 드리겠습니다."" 라는 대응이 전부인 업체입니다. 2번이나 클리너 바꿨는데 꼼꼼한 청소는 기대하기 힘들고 본인이 평소에 적당히 후딱 하는 청소정도 생각하시는 분이면 만족 하실 것같네요. 편하려고 부른 서비스인데 서비스 후 미흡한 부분 찾아서 스스로 더 꼼꼼하게 청소하게 되는게 아이러니네요. 꼼꼼한 청소를 원하시면 다른 업체알아보시는게 빠를것같네요! 공식적으로도 일상 청소만 하고있다고 답변받았습니다. 저는 꼼꼼한 청소를 원해서 낮은 별점 드립니다!","Miso, Inc.2020년 5월 11일안녕하세요, Hwanyoung Choe 고객님. 미소 생활청소 서비스 이용에 불편을 드려서 죄송합니다. 미소 서비스를 주문 하셨을 때, 기대하신 바가 있으셨을 텐데, 미흡한 품질로 이용에 불편을 드려서 죄송합니다. 고객님에게 만족스러운 서비스를 제공해드리지 못해 무거운 마음입니다. 미소는 우수한 청소 서비스를 위해 클리너님의 확인, 교육, 평가, 관리 등을 진행하고 있지만 사람과 사람을 연결하는 서비스인만큼 예상치못한 경우도 발생하게 됩니다. 이 같은 단점을 보완하기 위해 꾸준히 고객님의 말씀에 귀기울이고 있으며, 모든 고객님들을 만족시킬 수 있는 그날까지 끊임없이 노력하는 미소가 되겠습니다. 다시 한 번 사과드립니다."
김우미,5,2020-05-17,3,미소 서비스 감사합니다 청소 이용잘 하고 있어요 ^^ 개인적으로 미소 좋은점 여러가지 말씀드리자면 보통 다른 청소 업체의 경우 현금결제만 되니까 좀 불편 했지만 미소는 카드 등록 하고 카드로 결제 되는 업체이다보니까 편리했고요 2 번째는 시간 맞춰서 잘 와주시고 마무리 잘 지어주시고 가주시니까 ㅎㅎ 저도 그때 동안 다른 업무를 볼 수있다는게 장점이더라고요 . 아무튼 너무 괜찮아서 부모님집도 이거 한번 신청 해드릴려고요,"Miso, Inc.2020년 5월 21일안녕하세요, 김우미 고객님. 미소를 이용해 주셔서 감사합니다. :) 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 고객님의 편리한 이용을 위해서 카드 결제 (카드는 한번만 등록하시면 되시며, 나이스 페이에 의해 안전하게 관리되고 있습니다.) 및 가상 계좌 입금, 모두 가능 하도록 하고 있습니다.  고객님의 칭찬에 만족하지 않고 앞으로도 최선을 다하는 미소가 되도록 하겠습니다. :) 추후 생활청소가 필요 하실 때에는 미소를 기억해주세요. ^_^  코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요 . 감사합니다 :)"
최민규,5,2020-06-06,3,청소 마무리 완벽 하네요 ㅎㅎ 스케줄에 맞춰서 잘 와주시고 잘 마무리 까지 잘 해주십니다 .,
깡슬기[레베럽],5,2020-04-18,6,"집안청소에 대해 전혀 신경을 못쓰고 있을때 . 알게된 앱이라 너무 감사하고 .. 잘 쓰고 있어요 ㅎ 가성비 좋고 .. 이모님이 상당히 친절하신 까닭에 .. 정기적으로 이용할려고 생각하고 있고요 . 청소 , 그리고 서비스 다 만족 합니다 ^^ 저희 부모님도 연세가 좀 있으셔서 청소 하기 어려우시니까 이거 같이 신청 해드릴려고 하네요 ~ 잘 쓸게요 ㅎ","Miso, Inc.2020년 4월 22일안녕하세요, 깡슬기[레베럽] 고객님. 미소를 이용해 주셔서 감사합니다. 바쁘신 고객님에게 여유를 드릴 수 있어서, 저희는 기쁘게 일하고 있습니다. 미소는 합리적인 가격으로 양질의 서비스를 제공하여, 우리 모두의 일상이 행복해지도록 노력하고 있습니다. 부모님께 미소를 추천해 주신 고객님에게 부끄럽지 않도록 오늘도 저희는 취선을 다하고 있습니다. 정기 청소 신청은 미소 어플 혹은 실시간 문의에서 신청 가능 합니다. 방문하셨던 클리너님과 정기 청소 원하시면 미소 실시간 문의로 가능 여부 확인 부탁 드립니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요. :) 감사합니다 ^_^"
송기왕,5,2020-05-20,3,다른 리뷰에 안좋은 평가가 많아서 본사에 전화해서 교체 환불등 까다롭게 문의했는데 친절하게 응대해주셨고 가사도우미 분 오셔서 반짝반짝하게 해놓고 가셨다고 부모님께서 너무 좋아하셨습니다. 리뷰 믿지 마시고 직접 확인해 보세요,"Miso, Inc.2020년 5월 22일안녕하세요, 송기왕 고객님. 미소를 믿고, 미소 서비스를 이용해 주셔서 감사합니다. 고객님께서 미소의 서비스에 만족하신다고 하시니, 저희는 더욱 좋은 모습을 보이고 싶은 마음뿐입니다. 미소는 합리적인 가격으로 양질의 서비스를 제공하여, 우리 모두의 일상이 행복해 지도록 노력하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. :) 감사합니다 ^_^"
박효신,5,2020-06-01,1,결제도 간단하고 서비스도 괜찮고 . 청소 이용잘 받았습니다 감사합니다,"Miso, Inc.2020년 6월 3일안녕하세요, 박효신 고객님. 미소를 이용해 주셔서 감사합니다. 고객님의 편리한 이용을 위해서 카드 결제 (카드는 한번만 등록하시면 되시며, 나이스 페이에 의해 안전하게 관리되고 있습니다.) 및 가상 계좌 입금, 모두 가능 하도록 하고 있습니다. 앞으로도 만족할 수 있는 서비스를 제공하기 위해 더욱 노력하는 미소가 되도록 하겠습니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다. ^_^"
한명경,5,2020-06-03,0,뭐 할인받으려고 주변에 추천한건 아니지만. 정말 개인적으로 편하게 이용하고있어서 주변에 많이 알리고있네요,
강종민,5,2020-06-12,0,미소 청소 서비스 잘 이용중인 회원입니다 매번 꼼꼼하고 깔끔한 청소 감사합니다 .,
진은비,5,2020-05-27,2,맞벌이 부부고요 청소에 대해 스트레스도 많았고 시간적인 여유도 없었는데 이게 좀 도움이 되더라고요,"Miso, Inc.2020년 5월 29일안녕하세요, 진은비 고객님. 미소를 이용해 주셔서 감사합니다. 퇴근하고 깨끗한 집에 들어서면 기분이 상쾌하지요~ 맞벌이 하시느라 바쁘실텐데, 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 고객님의 기대에 부응할 수 있도록, 저희는 오늘도 최선을 다하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 추후 청소 서비스가 다시 필요하시면 미소를 기억해 주세요 ^^ 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다. :)"
강주성,5,2020-06-08,0,청소 서비스 잘 이용중입니다 . 금액도 저렴하고 청소도 디테일 하게 잘 해주시네요,
이규진,5,2020-05-31,1,예약이 간편하고 원하는 날짜에 편하게 예약할수있어서 좋습니다.,"Miso, Inc.2020년 6월 3일안녕하세요, 이규진 고객님. 저희 미소 서비스를 이용해 주셔서 감사합니다. 고객님의 편리한 사용을 위해서 앱은 최대한 간편하게 구성되어 있는데, 사용하시기 편하다고 하시니 저희 개발자들도 기쁩니다. 고객님의 칭찬에 만족하지 않고 앞으로도 최선을 다하는 미소가 되도록 하겠습니다. :) 추후 생활청소가 필요 하실 때에는 미소를 기억해주세요. 코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요 . 감사합니다 :)"
최원철,5,2020-06-05,0,평수가 작아서 비용이 대체적으로 저렴하게 진행했는데 역시 전문가는 전문가네요.,
ANOMEL,2,2020-06-11,0,에어컨이 일체형이라고 물받이 청소를 못 했는데 그래서인지 청소 해도 냄새가 나네요.. 돈이 아까운,"Miso, Inc.2020년 6월 11일안녕하세요, ANOMEL 고객님. 미소를 믿고 이용해 주셨는데, 불만족스러운 경험을 하게 되셔서 죄송한 마음 뿐 입니다. 고객님께서 겪으신 불편함을 바로 도와드리고 싶지만, 플레이 스토어의 특성상 고객님의 정보 등을 확인하기 어렵습니다. 번거로우시겠지만, 미소 어플에 있는 실시간 문의로 불만족스러웠던 사안과 고객님 성함 및 연락처를 남겨주시면 신속하게 확인 도와드리겠습니다. 감사합니다. 오늘도 좋은 하루 되세요."
한진희,5,2020-06-10,0,맞벌이에 아이가 어려서 집 정리며 청소며 잘 못하고 지내는데 청소 한 번 해주시면 너무나 깨끗하고 좋습니다! 늘 감사한 마음이에요^^,
chris Seo,1,2020-05-15,8,이거 카드등록 안해도 진행되며(후불) 어떤 크리너가 배치된것도 모르게 20분전에 집앞에서 전화합니다. 내가 크리너를 고를 수 없어요. 사용할때 유의하세요. 전 카드등록 안해서 취소된줄 알았는데 크리너 배정된줄도 모르고 있다가 위약금 2만원 물었습니다.,"Miso, Inc.2020년 5월 15일안녕하세요, chris Seo고객님. 이용에 불편을 드려서 죄송합니다. 미소 가사도우미는 '후결제' 서비스입니다. 결제는 서비스가 모두 완료 된 후 진행됩니다. 미소는 고객님께서 특별히 신경 쓰지 않으시더라도, 미소 서비스를 원활하게 제공해 드리는 것을 지향하고 있습니다. 따라서 방문하신 클리너님은 꼭 필요한 경우에만 고객님에게 연락을 드리도록 하고 있습니다. 예약하신 일정을 안내해 드리기 위해서, 서비스 하루 전 날 오후 5시 경에 일괄적으로 안내 메세지를 보내드리고 있는데 혹시  이 메세지로 부족 하셨는지요 ? ^^  믿을 수 있는 서비스를 제공하기 위해 더욱 노력하는 미소가 되도록 노력 하겠습니다. 감사합니다."
장준영,5,2020-06-04,0,청소 서비스 잘 이용받았습니다 카드 결제 등록 해놓으니까 간편하게 결제 되니까 편하더라고요,
양정현,5,2020-06-13,0,다른서비스 이용했는데 너무 마음에 안들어 옮겼는데 가격대비 청소수준은 미소가 완승입니다..,
