name,ratings,date,title,comment
,5,2020-04-27,편리 그 자체,일년 넘게 이용중입니다. 워킹맘으로 장보기가 여간 힘든게 아닌데 컬리를 만나면서 부터 고민이 싹 사라졌습니다. 무엇 보다도 전 날 11시 전에 주문 시 새벽에 배송해 주시는 점이 너무너무 맘에 들었습니다. 저깉은 워킹맘에게는 감사할 따름이지요~~ 마켓컬리 건승하시길 바랍니다!
,5,2020-11-24,구웃,세바시에서 보고 좋은 업체라는 생각에 바로 어플을 다운받고 항상 생각만 하다가 최근에 처음 사용했는데 식춤이 싱싱한것에 매우 만족했으며 기본적은 제품도 조금은 더 저렴한 것에 너무나 만족했습니다. 마켓컬리 너무 자주 이용중입니다😍
,4,2020-04-17,오늘 처음 깔아서 가입했는데 왜 안될까요,처음엔 잘 돼서 구경하고 있었는데
,5,2020-06-30,컬리 좋아요,뭐든 직접해야 안심이 되는 편인데 급할때 레트로 식품 몇개 구입해서 먹어보니 맛도 있고 주문후 몇시간 뒤에 오니 바로 아침을 해결할 수 있어서 좋았어요. 다른 새벽배송 보다 믿음이 가서 컬리만 이용하려고요  우린 쉬고 있을때 열심히 일하시는 컬리 가족분들께 감사드립니다
,5,2019-12-17,새벽배송 대만족,일을하는 주부로써 아침을 차려야하는데 일어나서 하는거 정말 귀챦거든요. 마켓컬리 덕분에 아침식사 차리는게 훨씬 수월해져서 저도 출근준비시간을 벌게 되어 자주 시키게 되네요^^ 게다가 음식맛이 기대이상인것들이 종종 있다보니 자주 시키고픈 요리가 생길정도입니다. 지인들에게 추천해준 요리도 몇가지나 있네요   요리의 양도 적당해서 오래쟁여두지 않아도 되고 참 좋아요
,5,2019-12-16,새로운 라이프스타일,정신없이보내던 하루하루에 성격은 급하지만 몸은 따라주지않던 와중에 만난 마켓컬리라
,5,2020-11-28,번창하세요:),배송 빨라서 너무 좋고 안내 문자까지 친절합니다.
,4,2021-02-25,믿고사는 마켓컬리 쇼핑 좋아효 하지만 ~ 하루 빨리 개선되길 바랍니다.,"마켓컬리에서 주는 혜택이 넘 마음에 들어요 하지만 , 배송 상품 포장이 개선 되지않으면 마켓컬리 별을 하나 더 하지는 못하겠네요."
,5,2021-02-01,좋아요^^,딸 추천으로 시작했는데.... 좋아요!!!
,5,2020-11-08,빠른배송 신선한 상품,처음 이용해 보고  너무 만족 스러워서 계속 주문하고 있습니다 자녀가 4명이라 매일 마트에 가서 장을 보고 있지만 마켓컬리 덕분에 일주일에 한번만 동네 마트는 가고 마켓컬리에서 대부분 구매할 예정입니다
,5,2020-03-01,재입고 알람,재입고 알람을 신청하면 마이컬리에서 확인 할 수 있으면 좋겠어요 알람이 금방 사라져 버려서.. 요즘 같은 때에는 빨리 마감이 될까봐 맘이 더 급해져서 사려고 찜 했던 상품을 잊고 주문해 버리기도 하네요..
,5,2020-10-27,자선단체인가요...,분명히 회원가입만 했던거같은데 어느날 만원쿠폰이왔네요. 심지어 최소구매요금이라는 조건도 안붙어서 바로 200원으로 닭가슴살 6개 질렀습니다 감사합니다 다음에는 꼭 쿠폰없이 이용하겠습니다!!
,4,2021-03-14,상품 이미지 해상도가 낮아요.,경쟁사인 C사는 대부분 아이패드 에서도 깨끗한 상품 이미지를 볼수있는데 마켓컬리 상품들은 해상도가 낮아서 도트가 보일 정도라 좀... 마켓컬리가 추구하는 고급 이미지를 만들고자하는 노선에도 맞지 않는거 같아요. 좀 중소기업에서 자체적으로 만든 작은 쇼핑몰 보는 기분이라... ㅠ 상품들이 워낙 다양해서 쉽게 해결되긴 어렵겠지만 시간을 두고라도 꼭 해결했으면 합니다.
,5,2020-08-04,마켓컬리 진짜 좋아요!,샛별배송 서비스있어서 신선식품도 걱정없이 시킬 수 있고 배송품질이 좋은거같아요!! 제품도 평균이상급이 많아서 고를때 기분도 좋고 편해요 다만 바로 장바구니 넣기도 좋은데 따로 제품 찜하기? 위시리스트가 있으면 비교하고 구매하기 더 좋을것같아요ㅜ그 외에는 서비스 완전 만족해요!
,4,2021-03-14,처음이라 그런데요..,아직 재구매 버튼이 어딧는지 모르겠습니다. 특히 입고 알림 오고 난 후로. 확인 못하고 재구매 하려니.. 주문내역에 가서 다시 구매 눌러야하니 불편한 부분은 있네요. 아직 적응이 안되서 그런지 모르겠습니다.
