name,ratings,date,title,comment
홍홍마미,5,2016-03-11,편리에 편리가 곱해진 마켓컬리앱,내일아침 뭘 먹을까 고민하다 마켓컬리에 몇가지 주문하고나니 마음이 편해요 ㅎㅎ 엄선된 상품들만 만날수 있어서~ 오늘 주문하면 다음날 새벽 집앞으로 가져다주는 시스템이 넘 맘에 들어서~ 마켓컬리 인터넷 창을 띄워놓고 사용했었는데요. 앱이 생기니 더욱 편리해졌어요^^ 마켓컬리앱 정말 반가워요 :) 마켓컬리 ID hhmommy
yoonakim2302,5,2016-03-14,최고에요,저녁 11시까지 장 보고나면..
june.yang,5,2016-03-30,주변 소문 듣고 찾아왔어요!,제가 의심병(!)이 많아 누가 좋다고 해도 직접 확안하기 전에는 잘 안 움직이는데 제 지인들이 세 명 이상이나 이 서비스를 추천하더군요. 바로 회원가입했어요ㅋ 구성품들 보니 왜 추천했나 알겠더라구요. 오월의 종 빵을 파는거 보면 더 할말 없죠. 당장 구매하러 갑니닷!!
ㅎㅎㅎㅎ호후후,5,2016-04-08,내 손안의 백화점💕💕💕,어린 아가들 기르다보니 맛집을 찾아다닌 다거나.. 백화점을 가서 여유롭게 쇼핑하고 입소문난 음식 먹어보는 게 너무너무너무 힘들어요ㅜㅜ 그런데 요 앱 다운받고ㅜㅜㅜ 신세계를 접하고 있어요!!!! 주문하면 바로 그 다음날 새벽도착!! 엄마들에겐 희소식 아닙니까!!! 냉장고만 봐도 흐무웃 합니다^^
통밀이나,5,2016-04-09,나만을 위한 유니크 마켓,젓갈을 좋아해서 믿을만한 젓갈을 먹기 위해 가입했는데 이런 앱도 있었네요~오늘 주문함 내일 아침에 배달이 온다니 이제 힘들게 시장다닐 필요가 없겠어요. 대한민국의 모든 맛집상품이 다 들어오는 그날까지 애용할께요~결론은 쇼핑이 편하고 즐거워서 자주 들어갈것같음 앱입니다~
jyp8767,5,2016-04-10,너무 편하고 좋아요 !,항상 퇴근시간도 늦어서 마트가서 장보기도 애매하고 혼자살아서 야채나 과일같은건 특히 많이 사면 금방 상해서 버리는게 대다수였거든요 ㅠ 근데 마켓컬리에선 소량으로 그것도 퀄리티 좋은 애들로 구매할 수 있어서 너무 좋아요! 바로 다음날 새벽일찍받아서 그날 도시락 싸가기도 편하고 짱입니다 ❤️
좋아요좋아요좋아요!!!!!!!!!,4,2016-04-11,마켓컬리 좋아요!,"지난 주 처음으로 구매해 봤는데 브라우니, 두유, 페스토 모두 너무 맛있었어요. 사실 앱은 좀 불편했어요. 사용 중간에 자꾸 꺼지기도 하고 할인이라고 써 있는데 할인가격 반영이 안 되어서 전화 문의해 할인받았어요. 앱이 좀 불편하긴해도 너무 맛있어보이는 음식들이 많으니까 자주 들여다보게 되네요. 번창하시길^^"
masidol,5,2016-04-19,럭셔리마켓의 진수 : 마켓컬리,자주 들어가보고 싶을 정도로 세련된 색상의 어플부터 마켓을 구성하고 있는 다양한 상품까지 모두가 럭셔리한 사람으로 느껴지게 만들어 줍니다. 마켓컬리에서 장을 보고있으면 대우받는 느낌이 든달까? 모든 제품에 신뢰가 가고 모든 제품이 건강한 식재료이라는 생각이 마구 듭니다~조금 더 빛처럼 빠른 속도로 장을 볼 수 있기를 바래봅니다~!! 대박나세요!!
2워터,5,2017-08-31,"오랜만의 업데이트, 확실히 좋아졌네요",하루에도 몇번씩 들어가는 컬리인데
ㅋㅋㅋㅋㅋㅋㅋ잼씀,5,2016-03-02,기다리던 마켓컬리 어플!!,진짜루 나올지몰랐는데 나왔네요 마켓컬리 어플!! 출퇴근길에 핸드폰으로 장보는 편인데 어플이 필요해서 만들어달라고 게시판에 남기기도 했었는데 진짜 나오니 너무 반갑고 좋습니다. 마켓컬리 포레버~~ 더욱 흥해서 품목이 더더 많아지길!!
